Title, SN Number, Location, Date, Image # 
"Semi-weekly standard. [volume]",sn83045450,"Raleigh, N.C.","October 06, 1858",3
"Semi-weekly standard. [volume]",sn83045450,"Raleigh, N.C.","July 14, 1858",2
"Semi-weekly standard. [volume]",sn83045450,"Raleigh, N.C.","November 17, 1860",3
"Green-Mountain freeman. [volume]",sn84023209,"Montpelier, Vt.","September 02, 1858",2
"Western Reserve chronicle. [volume]",sn84028385,"Warren, Ohio","May 09, 1860",1
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","July 14, 1855",3
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","July 28, 1855",3
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","August 04, 1855",4
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","August 18, 1855",4
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","August 25, 1855",4
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","September 01, 1855",4
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","September 08, 1855",4
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","September 15, 1855",4
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","September 29, 1855",4
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","October 06, 1855",4
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","October 27, 1855",4
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","February 09, 1856",3
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","March 08, 1856",3
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","May 31, 1856",3
"The Evansville daily journal. [volume]",sn82015672,"Evansville, Ia. [i.e. Ind.]","March 28, 1855",2
"Vermont phœnix. [volume]",sn98060050,"Brattleboro, Vt.","April 14, 1855",2
"Vermont phœnix. [volume]",sn98060050,"Brattleboro, Vt.","April 26, 1856",2
"Vermont phœnix. [volume]",sn98060050,"Brattleboro, Vt.","August 16, 1856",2
"The Evansville daily journal. [volume]",sn82015672,"Evansville, Ia. [i.e. Ind.]","June 22, 1853",2
"The Highland weekly news. [volume]",sn85038158,"Hillsborough [Hillsboro], Highland County, Ohio","July 22, 1858",2
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","March 18, 1857",2
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","March 11, 1857",2
"Semi-weekly standard. [volume]",sn83045450,"Raleigh, N.C.","November 21, 1860",3
"Weekly North Carolina standard. [volume]",sn84045030,"Raleigh, N.C.","July 14, 1858",2
"Weekly North Carolina standard. [volume]",sn84045030,"Raleigh, N.C.","October 06, 1858",3
"Marshall County Republican.",sn84038034,"Plymouth, Ind.","April 29, 1858",1
"Randolph County journal. [volume]",sn86058541,"Winchester, Randolph County, Ind.","October 27, 1859",2
"Indiana State sentinel. [volume]",sn82015677,"Indianapolis","January 08, 1852",1
"Plymouth banner.",sn87056241,"Plymouth, Marshall County, Ind.","January 18, 1855",2
"Plymouth banner.",sn87056241,"Plymouth, Marshall County, Ind.","January 11, 1855",2
"Indiana American. [volume]",sn84023881,"Brookville, Ind.","January 27, 1854",2
"Indiana American. [volume]",sn84023881,"Brookville, Ind.","January 06, 1854",2
"Indiana American. [volume]",sn84023881,"Brookville, Ind.","January 12, 1855",2
"Pomeroy weekly telegraph. [volume]",sn85038184,"Pomeroy, Meigs County, Ohio","June 19, 1860",2
"Daily Iowa State Democrat. [volume]",sn82014134,"Davenport, Iowa","May 01, 1858",1
"St. Charles City Republican intelligencer. [volume]",sn82014141,"St. Charles City [Charles City], Iowa","March 01, 1860",2
"St. Charles City Republican intelligencer. [volume]",sn82014141,"St. Charles City [Charles City], Iowa","February 16, 1860",2
"St. Charles City Republican intelligencer. [volume]",sn82014141,"St. Charles City [Charles City], Iowa","February 09, 1860",2
"Western Reserve chronicle. [volume]",sn84028385,"Warren, Ohio","July 18, 1855",2
"Newbern weekly progress. [volume]",sn84026547,"Newbern, N.C.","June 05, 1860",2
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","January 10, 1856",2
"The Jackson standard. [volume]",sn85038180,"Jackson C.H., Ohio","October 12, 1854",2
"The daily Gate City. [volume]",sn83025182,"Keokuk, Iowa","February 21, 1860",2
"The press and tribune. [volume]",sn82014511,"Chicago, Ill.","June 21, 1860",1
"Chicago daily press and tribune. [volume]",sn84031489,"Chicago, Ill.","January 04, 1859",2
"The Jeffersonian. [volume]",sn84026399,"Stroudsburg, Pa.","July 27, 1854",2
"The North-Carolina standard. [volume]",sn85042147,"Raleigh, N.C.","January 07, 1836",1
"The North-Carolina standard. [volume]",sn85042147,"Raleigh, N.C.","January 14, 1836",1
"Grand River times. [volume]",sn85026466,"Grand Haven, Mich.","January 21, 1857",2
"Columbia gazette. [volume]",sn84038765,"Columbia, Tuolumne County, Calif.","December 23, 1854",2
"The Shasta courier. [volume]",sn82015099,"Shasta, Calif.","August 11, 1860",2
"Burlington free press. [volume]",sn84023127,"Burlington, Vt.","March 15, 1850",2
"The Evansville daily journal. [volume]",sn82015672,"Evansville, Ia. [i.e. Ind.]","February 10, 1857",2
"The Cadiz Democratic sentinel. [volume]",sn84028794,"Cadiz, Ohio","May 21, 1857",2
"The Perrysburg journal. [volume]",sn85026192,"Perrysburg, Ohio","August 13, 1857",4
"Belmont chronicle. [volume]",sn85026241,"St. Clairsville, Ohio","May 21, 1857",1
"Weekly national intelligencer. [volume]",sn83045784,"Washington [D.C.]","June 29, 1850",1
"Weekly national intelligencer. [volume]",sn83045784,"Washington [D.C.]","June 29, 1850",2
"Litchfield enquirer. [volume]",sn84020071,"Litchfield, Conn.","July 26, 1855",1
"Grand River times. [volume]",sn85026466,"Grand Haven, Mich.","July 21, 1852",1
"The northern galaxy. [volume]",sn84023649,"Middlebury, Vt.","June 01, 1847",1
"The Evansville daily journal. [volume]",sn82015672,"Evansville, Ia. [i.e. Ind.]","August 23, 1853",2
"The Evansville daily journal. [volume]",sn82015672,"Evansville, Ia. [i.e. Ind.]","August 20, 1853",2
"Weekly hawk-eye and telegraph. [volume]",sn84037930,"Burlington, Iowa","February 04, 1857",2
"Richmond palladium. [volume]",sn86058217,"Richmond, IA [i.e. Ind.]","February 18, 1852, Page 2",2
"The Richmond palladium. [volume]",sn86058250,"Richmond, Ind.","June 11, 1857",4
"The New York herald. [volume]",sn83030313,"New York [N.Y.]","October 04, 1859, MORNING EDITION, Page 4",4
"Cleveland morning leader. [volume]",sn83035143,"Cleveland [Ohio]","December 10, 1858",1
"The Rutland County herald. [volume]",sn84022366,"Rutland, Vt.","November 24, 1854",2
"Burlington free press. [volume]",sn84023127,"Burlington, Vt.","September 24, 1858",3
"Burlington free press. [volume]",sn84023127,"Burlington, Vt.","August 08, 1856",2
"Burlington free press. [volume]",sn84023127,"Burlington, Vt.","August 29, 1856",2
"Vermont watchman and State journal. [volume]",sn84023200,"Montpelier, Vt.","April 06, 1855",2
"Dayton daily empire. [volume]",sn85026002,"Dayton [Ohio]","June 13, 1860",2
"Cleveland morning leader. [volume]",sn83035143,"Cleveland [Ohio]","July 12, 1858",2
"Cleveland morning leader. [volume]",sn83035143,"Cleveland [Ohio]","January 29, 1859",2
"Cleveland morning leader. [volume]",sn83035143,"Cleveland [Ohio]","February 19, 1859",2
"The Ottawa free trader. [volume]",sn84038582,"Ottawa, Ill.","February 19, 1859",2
"Cleveland morning leader. [volume]",sn83035143,"Cleveland [Ohio]","May 29, 1860",1
"The Caledonian. [volume]",sn84023252,"St. Johnsbury, Vt.","July 11, 1857",3
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","February 16, 1856",3
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","March 15, 1856",3
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","June 07, 1856",3
"New-York daily tribune. [volume]",sn83030213,"New-York [N.Y.]","November 25, 1851, Page 6",6
"The daily comet. [volume]",sn83016548,"Baton Rouge, La.","March 18, 1853",2
"The Highland weekly news. [volume]",sn85038158,"Hillsborough [Hillsboro], Highland County, Ohio","June 14, 1860",2
"The Pacific commercial advertiser. [volume]",sn82015418,"Honolulu, Hawaiian Islands","October 04, 1860",2
"Weekly Indiana State sentinel. [volume]",sn82014286,"Indianapolis [Ind.]","December 13, 1855",1
"Indiana American. [volume]",sn84023881,"Brookville, Ind.","May 30, 1856",2
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","February 06, 1850, EXTRA",1
"Minnesota weekly times. [volume]",sn85025594,"St. Paul, Minn.","August 28, 1855",4
"The Kenosha telegraph. [volume]",sn85033123,"Kenosha, Wis.","December 20, 1860",1
"The Kenosha telegraph and tribune. [volume]",sn85040309,"Kenosha, Wis.","August 04, 1859",2
"The Kenosha telegraph and tribune. [volume]",sn85040309,"Kenosha, Wis.","August 11, 1859",2
"East Saginaw courier.",sn97063063,"East Saginaw, Mich.","May 17, 1860",1
"The Cecil Whig. [volume]",sn83016348,"Elkton, Md.","March 30, 1850",2
"Eaton Democrat. [volume]",sn84028570,"Eaton, Ohio","October 26, 1854",2
"Daily American organ. [volume]",sn85042002,"Washington, D.C.","July 17, 1856",2
"The Cadiz Democratic sentinel. [volume]",sn84028794,"Cadiz, Ohio","September 19, 1855",1
"Democrat and sentinel. [volume]",sn86071378,"Ebensburg, Pa.","December 16, 1853",2
"Democrat and sentinel. [volume]",sn86071378,"Ebensburg, Pa.","July 27, 1854",2
"Cooper's Clarksburg register. [volume]",sn85059716,"Clarksburg, Va. [W. Va.]","January 21, 1852",2
"Green-Mountain freeman. [volume]",sn84023209,"Montpelier, Vt.","November 07, 1850",1
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","May 29, 1852",2
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","April 09, 1853",2
"Vermont phœnix. [volume]",sn98060050,"Brattleboro, Vt.","July 01, 1847",1
"The North-Carolinian. [volume]",sn84020750,"Fayetteville [N.C.]","June 11, 1842",1
"The Evansville daily journal. [volume]",sn82015672,"Evansville, Ia. [i.e. Ind.]","June 26, 1848",2
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","May 17, 1855",2
"The North-Carolina standard. [volume]",sn85042147,"Raleigh, N.C.","December 25, 1839",3
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","June 03, 1857",1
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","September 23, 1857",2
"The Tipton advertiser. [volume]",sn84027398,"Tipton, Cedar Co., Iowa","April 16, 1859",1
"Staunton spectator. [volume]",sn84024718,"Staunton, Va.","January 21, 1852",1
"Herald of the times, and Rhode Islander. [volume]",sn83021168,"Newport, R.I.","June 03, 1847",3
"Fremont journal. [volume]",sn85026050,"Fremont, Sandusky County [Ohio]","October 20, 1854",3
"The Belmont chronicle, and farmers, mechanics and manufacturers advocate. [volume]",sn84028479,"St. Clairsville, Ohio","April 08, 1853",2
"The Lansing state Republican. [volume]",sn83016318,"Lansing, Mich.","February 15, 1859",1
"Lewisburg chronicle. [volume]",sn85055197,"Lewisburg, Pa.","July 28, 1854",1
"Staunton spectator. [volume]",sn84024718,"Staunton, Va.","December 12, 1855",2
"The Ohio star. [volume]",sn83035044,"Ravenna, Ohio","March 30, 1853",2
"The Cecil Whig. [volume]",sn83016348,"Elkton, Md.","January 12, 1850",2
"The Grand Haven news. [volume]",sn85033622,"Grand Haven, Mich.","April 27, 1859",2
"The Grand Haven news. [volume]",sn85033622,"Grand Haven, Mich.","September 21, 1859",1
"The Iowa transcript.",sn87058318,"Toledo, Tama County, Iowa","January 26, 1860",1
"New Oregon plaindealer.",sn87058042,"New Oregon, Iowa","April 06, 1860",1
"The Ottawa free trader. [volume]",sn84038582,"Ottawa, Ill.","February 28, 1857",2
"Litchfield enquirer. [volume]",sn84020071,"Litchfield, Conn.","July 31, 1856",1
"New-York daily tribune. [volume]",sn83030213,"New-York [N.Y.]","February 04, 1843",1
"The Lancaster gazette.",sn87070038,"Lancaster, Ohio","June 01, 1849",1
"Portage sentinel. [volume]",sn83035101,"Ravenna, Ohio","December 01, 1852",2
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","March 30, 1853",2
"Carroll free press. [volume]",sn83035366,"Carrollton [Ohio]","April 01, 1853",2
"Vermont phœnix. [volume]",sn98060050,"Brattleboro, Vt.","October 31, 1857",2
"Weekly standard. [volume]",sn83045706,"Raleigh, N.C.","July 13, 1859",4
"The miners' express.",sn86083363,"Dubuque, Iowa","February 13, 1850",1
"Evening star. [volume]",sn83045462,"Washington, D.C.","July 17, 1856",3
"Cincinnati daily press. [volume]",sn84028745,"Cincinnati [Ohio]","July 24, 1860",2
"Cincinnati daily press. [volume]",sn84028745,"Cincinnati [Ohio]","October 01, 1860",2
"The Ashland union. [volume]",sn83035173,"Ashland, Ashland County, Ohio","June 27, 1855",2
"The penny press. [volume]",sn85025750,"Cincinnati [Ohio]","January 18, 1860",3
"The Democratic sentinel. [volume]",sn85025647,"Cadiz, Ohio","April 20, 1853",2
"Vermont watchman and State journal. [volume]",sn84023200,"Montpelier, Vt.","July 22, 1847",1
"Fremont journal. [volume]",sn85026050,"Fremont, Sandusky County [Ohio]","October 13, 1854",3
"Vermont watchman and State journal. [volume]",sn84023200,"Montpelier, Vt.","October 31, 1850",1
"Vermont watchman and State journal. [volume]",sn84023200,"Montpelier, Vt.","February 22, 1849",1
"American Lancaster gazette. [volume]",sn85026105,"Lancaster, Ohio","June 28, 1855",2
"The Portsmouth inquirer. [volume]",sn85026203,"Portsmouth, O. [Ohio]","December 01, 1854",4
"The Portsmouth inquirer. [volume]",sn85026203,"Portsmouth, O. [Ohio]","December 22, 1854",3
"Cleveland morning leader. [volume]",sn83035143,"Cleveland [Ohio]","February 19, 1859",1
"Wilmington journal. [volume]",sn84026536,"Wilmington, N.C.","April 01, 1853",1
"Wilmington journal. [volume]",sn84026536,"Wilmington, N.C.","April 08, 1853",1
"Wisconsin tribune.",sn86086768,"Mineral Point, Wis.","February 03, 1853",1
"Belmont chronicle. [volume]",sn85026241,"St. Clairsville, Ohio","June 28, 1855",2
"Belmont chronicle. [volume]",sn85026241,"St. Clairsville, Ohio","October 11, 1855",1
"The Evansville daily journal. [volume]",sn82015672,"Evansville, Ia. [i.e. Ind.]","March 06, 1857",2
"Weekly North Carolina standard. [volume]",sn84045030,"Raleigh, N.C.","April 23, 1856",1
"The North-Carolina standard. [volume]",sn85042147,"Raleigh, N.C.","December 26, 1838",3
"The North-Carolina standard. [volume]",sn85042147,"Raleigh, N.C.","January 02, 1839",4
"The North-Carolina standard. [volume]",sn85042147,"Raleigh, N.C.","January 09, 1839",4
"The North-Carolina standard. [volume]",sn85042147,"Raleigh, N.C.","January 01, 1840",4
"The North-Carolina standard. [volume]",sn85042147,"Raleigh, N.C.","January 15, 1840",4
"Carroll free press. [volume]",sn83035366,"Carrollton [Ohio]","June 25, 1847",2
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","July 05, 1854",2
"Pomeroy weekly telegraph. [volume]",sn85038184,"Pomeroy, Meigs County, Ohio","April 03, 1860",3
"The Ohio star. [volume]",sn83035044,"Ravenna, Ohio","October 05, 1853",1
"Monongalia mirror. [volume]",sn86092163,"Morgantown, Va. [W. Va.]","January 24, 1852",1
"The Tipton advertiser. [volume]",sn84027398,"Tipton, Cedar Co., Iowa","June 26, 1858",3
"The Tipton advertiser. [volume]",sn84027398,"Tipton, Cedar Co., Iowa","July 16, 1859",2
"Alexandria gazette. [volume]",sn85025007,"Alexandria, D.C.","June 23, 1852",2
"Daily Davenport gazette. [volume]",sn87058151,"Davenport, Iowa","February 13, 1855",3
"St. Charles City Republican intelligencer. [volume]",sn82014141,"St. Charles City [Charles City], Iowa","December 10, 1857",2
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","April 07, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","April 14, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","February 24, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","March 03, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","March 10, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","May 12, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","May 19, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","March 17, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","March 24, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","March 31, 1855",4
"Alexandria gazette. [volume]",sn85025007,"Alexandria, D.C.","January 15, 1852",2
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","December 02, 1854",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","December 09, 1854",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","April 21, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","April 28, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","December 16, 1854",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","December 30, 1854",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","January 20, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","January 27, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","January 06, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","January 13, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","November 11, 1854",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","February 10, 1855",4
"Butte record.",sn93052998,"Bidwell, Butte County, Cal.","February 17, 1855",4
"Herald of the times, and Rhode Islander. [volume]",sn83021168,"Newport, R.I.","June 03, 1847",2
"Richmond daily times. [volume]",sn84024692,"Richmond [Va.]","June 21, 1852",2
"The Kenosha telegraph and tribune. [volume]",sn85040309,"Kenosha, Wis.","April 05, 1860",3
"Kenosha telegraph. [volume]",sn85040305,"Kenosha, Wis.","January 28, 1853",1
"Kenosha tribune & telegraph. [volume]",sn85040308,"Kenosha, Wis.","October 21, 1858",1
"Nebraska advertiser. [volume]",sn84020109,"Brownville, Nemaha County, N.T. [Neb.]","December 16, 1858",1
"Portage sentinel. [volume]",sn83035101,"Ravenna, Ohio","June 06, 1849",1
"The western Democrat. [volume]",sn84020712,"Charlotte, N.C.","December 22, 1860",2
"Raftsman's journal. [volume]",sn85054616,"Clearfield, Pa.","January 09, 1856",3
"The Democratic pioneer. [volume]",sn85026335,"Upper Sandusky, Ohio","April 27, 1849",2
"Bedford inquirer and chronicle. [volume]",sn86083444,"Bedford, Pa.","January 11, 1856",1
"Litchfield enquirer. [volume]",sn84020071,"Litchfield, Conn.","May 11, 1854",2
"The press and tribune. [volume]",sn82014511,"Chicago, Ill.","July 16, 1860",1
"The Ashland union. [volume]",sn83035173,"Ashland, Ashland County, Ohio","October 25, 1854",3
"The Ashland union. [volume]",sn83035173,"Ashland, Ashland County, Ohio","October 11, 1854",2
"Vermont watchman and State journal. [volume]",sn84023200,"Montpelier, Vt.","September 08, 1854",2
"The southerner. [volume]",sn90052434,"Tarboro', Edgecombe Co., (N.C.)","February 11, 1854",1
"Holmes County Republican. [volume]",sn84028820,"Millersburg, Holmes County, Ohio","February 12, 1857",1
"The penny press. [volume]",sn85025750,"Cincinnati [Ohio]","November 04, 1859",2
"The Jeffersonian. [volume]",sn84026399,"Stroudsburg, Pa.","June 28, 1855",1
"Vermont telegraph. [volume]",sn83025661,"Brandon [Vt.]","May 31, 1837, Page 144",4
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","January 25, 1855",2
"The Cass County Republican. [volume]",sn85033611,"Dowagiac, Mich.","September 22, 1859",2
"The Jackson standard. [volume]",sn85038180,"Jackson C.H., Ohio","September 15, 1853",1
"Orleans independent standard. [volume]",sn84022548,"Irasburgh, Vt.","January 30, 1857",2
"The Buchanan County guardian.",sn87058348,"Independence, Buchanan County, Iowa","January 26, 1860",1
"Weekly Trinity journal. [volume]",sn85025202,"Weaverville, Calif.","January 01, 1859",2
"The north Iowa times. [volume]",sn84027237,"M'Gregor [i.e. McGregor], Iowa","February 06, 1857",2
"The Nevada journal. [volume]",sn84026884,"Nevada City, Calif.","February 10, 1854",2
"Lincoln telegraph. [volume]",sn82014358,"Bath, Me.","January 21, 1841",2
"Litchfield enquirer. [volume]",sn84020071,"Litchfield, Conn.","July 28, 1859",4
"The Bossier banner. [volume]",sn85034235,"Bellevue, Bossier Parish, La.","July 01, 1859",2
"The Richmond palladium. [volume]",sn86058250,"Richmond, Ind.","May 08, 1856",3
"Cleveland morning leader. [volume]",sn83035143,"Cleveland [Ohio]","June 20, 1859",3
"The press and tribune. [volume]",sn82014511,"Chicago, Ill.","January 03, 1860",2
"The press and tribune. [volume]",sn82014511,"Chicago, Ill.","October 11, 1859",1
"Vermont watchman and State journal. [volume]",sn84023200,"Montpelier, Vt.","February 02, 1855",3
"Chicago daily press and tribune. [volume]",sn84031489,"Chicago, Ill.","January 12, 1859",2
"Chicago daily press and tribune. [volume]",sn84031489,"Chicago, Ill.","January 28, 1859",2
"Chicago daily press and tribune. [volume]",sn84031489,"Chicago, Ill.","February 24, 1859",2
"Chicago daily press and tribune. [volume]",sn84031489,"Chicago, Ill.","February 19, 1859",2
"Daily evening star. [volume]",sn83045461,"Washington [D.C.]","June 01, 1853",2
"Maumee express. [volume]",sn85026142,"Maumee City, Ohio","May 12, 1838",1
"Portage sentinel. [volume]",sn83035101,"Ravenna, Ohio","March 30, 1853",3
"Hillsdale Whig standard.",sn89080032,"Hillsdale, Mich.","February 11, 1851",2
"Cincinnati daily press. [volume]",sn84028745,"Cincinnati [Ohio]","June 30, 1860",3
"The daily dispatch. [volume]",sn84024738,"Richmond [Va.]","July 20, 1854",1
"The press and tribune. [volume]",sn82014511,"Chicago, Ill.","July 13, 1860",1
"Vermont phœnix. [volume]",sn98060050,"Brattleboro, Vt.","May 19, 1860",3
"Burlington free press. [volume]",sn84023127,"Burlington, Vt.","May 18, 1860",3
"The Hillsdale standard. [volume]",sn85033637,"Hillsdale, Mich.","May 04, 1858",1
"Spirit of the times. [volume]",sn84028880,"Ironton, Ohio","September 06, 1853",1
"Lower Sandusky freeman.",sn90068957,"Lower Sandusky [i.e. Fremont, Ohio]","March 31, 1849",4
"The weekly north Iowa times. [volume]",sn84027238,"McGregor, Iowa","November 04, 1857",1
"Litchfield enquirer. [volume]",sn84020071,"Litchfield, Conn.","July 24, 1856",2
"Litchfield enquirer. [volume]",sn84020071,"Litchfield, Conn.","July 15, 1841",2
"The Whig standard. [volume]",sn82016317,"Washington, D.C.","May 15, 1844",2
"The Kanzas news. [volume]",sn85030219,"Emporia, Kan.","April 03, 1858",2
"Lamoille newsdealer. [volume]",sn84023428,"Hyde Park, Vt.","December 14, 1860",4
"The Democratic press.",sn88077265,"Eaton, Preble County, Ohio","September 27, 1860",1
"Alexandria gazette. [volume]",sn85025007,"Alexandria, D.C.","August 23, 1860, Gazette Extra",5
"The Jeffersonian. [volume]",sn84026399,"Stroudsburg, Pa.","April 05, 1855",1
"Jeffersonian Republican. [volume]",sn86053954,"Stroudsburg, Pa.","August 19, 1852",1
"Boon's Lick times. [volume]",sn83016957,"Fayette, Mo.","September 06, 1845",2
"The southerner. [volume]",sn90052434,"Tarboro', Edgecombe Co., (N.C.)","July 23, 1859",2
"The Kalida venture. [volume]",sn85038078,"Kalida, Ohio","April 08, 1853",4
"The New era. [volume]",sn86071753,"[Portsmouth, Va.]","May 09, 1846",2
"Lincoln telegraph. [volume]",sn82014358,"Bath, Me.","February 10, 1842",1
"Litchfield enquirer. [volume]",sn84020071,"Litchfield, Conn.","August 10, 1854",1
"Litchfield enquirer. [volume]",sn84020071,"Litchfield, Conn.","September 06, 1849",2
"Richmond palladium. [volume]",sn86058217,"Richmond, IA [i.e. Ind.]","November 23, 1847",2
"Civilian & telegraph. [volume]",sn83016179,"Cumberland, Md.","January 19, 1860",2
"The New York herald. [volume]",sn83030313,"New York [N.Y.]","January 17, 1856, MORNING EDITION, Page 6",6
"The New York herald. [volume]",sn83030313,"New York [N.Y.]","September 02, 1850",5
"The New York herald. [volume]",sn83030313,"New York [N.Y.]","September 02, 1850",3
"Evening star. [volume]",sn83045462,"Washington, D.C.","August 02, 1860",3
"Burlington free press. [volume]",sn84023127,"Burlington, Vt.","October 22, 1858",2
"The Evansville daily journal. [volume]",sn82015672,"Evansville, Ia. [i.e. Ind.]","August 31, 1859",2
"Vermont watchman and State journal. [volume]",sn84023200,"Montpelier, Vt.","January 05, 1855",2
"Cleveland morning leader. [volume]",sn83035143,"Cleveland [Ohio]","April 04, 1859",1
"Wilmington journal. [volume]",sn84026536,"Wilmington, N.C.","January 14, 1853",3
"Wilmington journal. [volume]",sn84026536,"Wilmington, N.C.","February 04, 1853",1
"Wilmington journal. [volume]",sn84026536,"Wilmington, N.C.","February 11, 1853",1
"Wilmington journal. [volume]",sn84026536,"Wilmington, N.C.","January 21, 1853",1
"Wilmington journal. [volume]",sn84026536,"Wilmington, N.C.","January 28, 1853",1
"Wilmington journal. [volume]",sn84026536,"Wilmington, N.C.","February 18, 1853",1
"The Ottawa free trader. [volume]",sn84038582,"Ottawa, Ill.","February 24, 1855",2
"The Ottawa free trader. [volume]",sn84038582,"Ottawa, Ill.","June 26, 1858",2
"The republic. [volume]",sn82014434,"Washington [D.C.]","July 24, 1850",3
"Cleveland morning leader. [volume]",sn83035143,"Cleveland [Ohio]","July 07, 1860",2
"Vermont phœnix. [volume]",sn98060050,"Brattleboro, Vt.","July 31, 1858",2
"Vermont phœnix. [volume]",sn98060050,"Brattleboro, Vt.","August 28, 1858",2
"Richmond enquirer. [volume]",sn84024735,"Richmond, Va.","May 27, 1845",4
"Richmond enquirer. [volume]",sn84024735,"Richmond, Va.","December 09, 1841",3
"The daily crescent. [volume]",sn82015378,"[New Orleans, La.]","May 02, 1851, Morning",2
"Nashville patriot. [volume]",sn85033711,"Nashville, Tenn.","May 24, 1860",3
"The Evansville daily journal. [volume]",sn82015672,"Evansville, Ia. [i.e. Ind.]","September 14, 1858",1
"The Evansville daily journal. [volume]",sn82015672,"Evansville, Ia. [i.e. Ind.]","March 18, 1857",1
"The Evansville daily journal. [volume]",sn82015672,"Evansville, Ia. [i.e. Ind.]","July 07, 1857",2
"Marshall County Democrat.",sn87056247,"Plymouth, Ind.","July 28, 1859",2
"Indiana State sentinel. [volume]",sn82014301,"Indianapolis [Ind.]","January 09, 1849",2
"Daily Davenport gazette. [volume]",sn87058151,"Davenport, Iowa","March 08, 1855",4
"Daily Davenport gazette. [volume]",sn87058151,"Davenport, Iowa","February 01, 1855",3
"Ellsworth American. [volume]",sn84022374,"Ellsworth, Me.","April 06, 1860",3
"Richmond daily times. [volume]",sn84024692,"Richmond [Va.]","January 13, 1852",2
"Kenosha tribune & telegraph. [volume]",sn85040308,"Kenosha, Wis.","November 25, 1858",2
"Weekly miners' express.",sn86083352,"DuBuque, Iowa","November 28, 1848",1
"The Cecil Whig. [volume]",sn83016348,"Elkton, Md.","May 01, 1852",2
"The penny press. [volume]",sn85025750,"Cincinnati [Ohio]","December 05, 1859",2
"M'arthur Democrat.",sn87075163,"McArthur, Vinton County, Ohio","December 22, 1859",2
"Democrat and sentinel. [volume]",sn86071378,"Ebensburg, Pa.","July 13, 1854",2
"The western Democrat. [volume]",sn84020712,"Charlotte, N.C.","May 20, 1856",2
"Plymouth advertiser. [volume]",sn86079046,"Plymouth, Ohio","November 12, 1853",2
